station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
BAS;01.02.1765 00:00;;;-1.7;-4.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1765 00:00;;;6.1;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1765 00:00;;;8.7;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1765 00:00;;;13;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1765 00:00;;;17.8;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1765 00:00;;;17;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1765 00:00;;;17.3;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1765 00:00;;;13.8;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1765 00:00;;;9.8;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1765 00:00;;;3.1;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1765 00:00;;;-1.6;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1766 00:00;;;-7.5;-9.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1766 00:00;;;-2;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1766 00:00;;;3.5;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1766 00:00;;;10.5;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1766 00:00;;;14.3;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1766 00:00;;;16.5;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1766 00:00;;;16.9;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1766 00:00;;;17.9;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1766 00:00;;;14.7;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1766 00:00;;;9.4;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1766 00:00;;;2.8;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1766 00:00;;;-1.6;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1767 00:00;;;-5.6;-7.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1767 00:00;;;5.1;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1767 00:00;;;3.5;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1767 00:00;;;7.2;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1767 00:00;;;11.9;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1767 00:00;;;15.6;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1767 00:00;;;18;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1767 00:00;;;17.9;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1767 00:00;;;14.2;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1767 00:00;;;8.8;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1767 00:00;;;6.3;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1767 00:00;;;-2;-4.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1768 00:00;;;-3;-5.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1768 00:00;;;1.4;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1768 00:00;;;1.7;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1768 00:00;;;9.2;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1768 00:00;;;14.3;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1768 00:00;;;15.8;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1768 00:00;;;17.9;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1768 00:00;;;17.5;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1768 00:00;;;13.4;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1768 00:00;;;9.7;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1768 00:00;;;5.1;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1768 00:00;;;0.5;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1769 00:00;;;0.6;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1769 00:00;;;1.9;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1769 00:00;;;3;-4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1769 00:00;;;9.2;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1769 00:00;;;14;-0.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1769 00:00;;;15;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1769 00:00;;;18.1;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1769 00:00;;;17.3;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1769 00:00;;;14.3;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1769 00:00;;;4.7;-6.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1769 00:00;;;6.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1769 00:00;;;1.4;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1770 00:00;;;-1.4;-3.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1770 00:00;;;-0.5;-3.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1770 00:00;;;1.7;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1770 00:00;;;5.8;-4.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1770 00:00;;;13.5;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1770 00:00;;;15.5;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1770 00:00;;;16.2;-4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1770 00:00;;;18.1;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1770 00:00;;;16.1;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1770 00:00;;;8.9;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1770 00:00;;;5.8;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1770 00:00;;;2.6;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1771 00:00;;;0;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1771 00:00;;;0.1;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1771 00:00;;;3.1;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1771 00:00;;;6.2;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1771 00:00;;;16.2;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1771 00:00;;;14.9;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1771 00:00;;;18.8;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1771 00:00;;;17;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1771 00:00;;;14.5;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1771 00:00;;;9.2;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1771 00:00;;;1.3;-4.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1771 00:00;;;2.2;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1772 00:00;;;-0.8;-3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1772 00:00;;;3.7;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1772 00:00;;;6.3;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1772 00:00;;;8.3;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1772 00:00;;;12;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1772 00:00;;;18.5;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1772 00:00;;;18.2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1772 00:00;;;17.8;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1772 00:00;;;16.1;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1772 00:00;;;11.3;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1772 00:00;;;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1772 00:00;;;1.6;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1773 00:00;;;2;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1773 00:00;;;-2.1;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1773 00:00;;;3.8;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1773 00:00;;;8.3;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1773 00:00;;;13;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1773 00:00;;;16;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1773 00:00;;;16.3;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1773 00:00;;;17.3;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1773 00:00;;;14.9;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1773 00:00;;;10;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1773 00:00;;;4.9;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1773 00:00;;;3.6;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1774 00:00;;;0.7;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1774 00:00;;;2;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1774 00:00;;;7.3;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1774 00:00;;;10.9;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1774 00:00;;;13.6;-1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1774 00:00;;;16.9;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1774 00:00;;;17.5;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1774 00:00;;;19.3;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1774 00:00;;;13.9;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1774 00:00;;;7.9;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1774 00:00;;;1.7;-4.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1774 00:00;;;-1.6;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1775 00:00;;;0.9;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1775 00:00;;;4.3;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1775 00:00;;;5.3;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
